Index,Customer Id,First Name,Last Name,Company,City,Country,Phone 1,Email,Subscription Date,Website,age,score,salary,balance
1,1,Sheryl,Baxter,Rasmussen Group,East Leonard,Chile,6355806132,zunigavanessa@smith.info,2020-08-24,http://www.stephenson.com/,10,12,222444,122222
2,2,Preston,Lozano,Vega-Gentry,East Jimmychester,Djibouti,9904450457,vmata@colon.com,2021-04-23,http://www.hobbs.com/,20,33,750000,333333
3,3,Roy,Berry,Murillo-Perry,Isabelborough,Antigua and Barbuda,6910659254,beckycarr@hogan.com,2020-03-25,http://www.lawrence.com/,40,44,52512,444444
4,4,Linda,Olsen,"Dominguez, Mcmillan and Donovan",Bensonview,Dominican Republic,6910659254,stanleyblackwell@benson.org,2020-06-02,http://www.good-lyons.com/,12,55,444525,555555
5,5,Joanna,Bender,"Martin, Lang and Andrade",West Priscilla,Slovakia (Slovak Republic),6910659255,colinalvarado@miles.net,2021-04-17,https://goodwin-ingram.com/,24,66,445554,7777777
6,6,Aimee,Downs,Steele Group,Chavezborough,Bosnia and Herzegovina,6910659256,louis27@gilbert.com,2020-02-25,http://www.berger.net/,43,77,555552,666666
7,7,Darren,Peck,"Lester, Woodard and Mitchell",Lake Ana,Pitcairn Islands,6910659257,tgates@cantrell.com,2021-08-24,https://www.le.com/,45,88,25555,777777
8,8,Brett,Mullen,"Sanford, Davenport and Giles",Kimport,Bulgaria,6910659258,asnow@colon.com,2021-04-12,https://hammond-ramsey.com/,11,33,222224,777777
9,9,Sheryl,Meyers,Browning-Simon,Robersonstad,Cyprus,6910659259,,2020-01-13,https://www.bullock.net/,43,33,555555,777777
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,750000,,,,,,,
